,city,lat,temp F,humidity %,clouds %,wind MPH
96,nemuro,43.32,23.0,67,75,8.05
97,coos bay,43.37,48.02,92,1,6.93
98,lompoc,34.64,57.27,87,90,9.17
99,noumea,-22.28,82.4,78,80,8.05
100,lorengau,-2.02,83.77,98,68,13.33
101,caxito,-22.65,78.32,72,0,10.42
102,vestmannaeyjar,63.44,41.74,97,0,24.29
103,yellowknife,62.45,6.8,84,90,8.05
104,pacific grove,36.62,55.65,77,90,5.82
105,mar del plata,-46.43,65.81,42,36,20.49
106,constitucion,23.99,51.64,53,0,7.18
107,buta,2.79,72.92,86,12,2.15
108,shieli,44.18,13.97,81,64,3.38
109,geraldton,49.72,-13.01,75,20,4.7
110,bandarbeyla,9.49,75.26,100,92,16.69
111,faya,18.39,50.86,93,0,3.36
112,san cristobal,-0.39,52.63,100,40,1.12
113,calamar,1.96,84.67,48,56,2.93
114,cabo san lucas,22.89,67.06,82,5,8.05
115,christchurch,-43.53,62.6,67,0,18.34
116,isla mujeres,21.23,66.2,77,40,3.36
117,sokolo,14.74,63.25,38,44,10.76
118,kruisfontein,-34.0,63.83,87,8,20.71
119,tiksi,71.64,-29.14,47,32,6.4
120,bastrop,32.78,47.75,60,90,5.82
121,pitea,65.32,30.2,58,0,19.46
122,abnub,27.27,48.2,61,0,2.93
123,kant,42.89,30.2,92,90,2.24
124,oliveira dos brejinhos,-12.32,71.89,77,0,8.19
125,changji,32.07,44.17,94,44,3.94
126,cairns,-16.92,82.4,74,75,11.41
127,awbari,26.59,36.47,67,0,8.97
128,hoshcha,50.6,20.5,84,92,15.46
129,coahuayana,18.62,59.69,83,0,2.04
130,pleasanton,37.66,55.29,92,90,3.36
131,diu,20.71,55.19,84,0,2.93
132,te anau,-45.41,71.21,31,0,2.59
133,alta floresta,-9.87,70.9,100,92,2.48
134,thinadhoo,0.53,80.57,100,80,6.29
135,margate,-43.03,75.2,19,0,20.8
136,panino,51.65,17.6,92,90,6.71
137,san patricio,-26.98,78.1,82,80,3.94
138,mahebourg,-20.41,80.6,88,40,6.93
139,acapulco,16.86,75.98,86,0,6.4
140,san angelo,31.46,53.96,89,75,12.75
141,vigrestad,58.57,35.6,80,75,4.7
142,schattdorf,46.86,30.2,100,75,2.24
143,raudeberg,61.99,37.4,100,76,16.11
144,clyde river,70.47,-31.01,73,1,6.93
145,west wendover,40.74,26.06,95,90,3.36
146,dingle,11.0,82.64,70,20,10.65
147,port augusta,-32.49,82.4,54,0,20.8
148,provideniya,64.42,-11.23,100,20,17.92
149,idlib,35.93,44.6,70,40,12.75
150,port-gentil,-0.72,77.2,100,68,4.72
151,broome,52.47,44.44,87,0,11.41
152,prado,-17.34,80.03,95,92,9.64
153,goma,-1.67,56.27,94,48,1.59
154,chany,55.31,0.61,74,80,5.28
155,saint peter,44.32,25.52,88,1,6.93
156,inuvik,68.36,-22.01,74,90,4.7
157,motygino,58.18,-3.54,75,56,3.15
158,victoria,5.28,86.9,70,75,2.24
159,saint-francois,46.42,35.6,100,90,2.24
160,cedar city,37.68,28.04,88,1,2.59
161,mount darwin,-16.77,66.49,97,68,2.82
162,arawa,7.05,70.99,94,0,3.38
163,pangkalanbuun,-2.68,83.99,95,80,4.27
164,guasdualito,7.24,75.2,94,20,8.19
165,cherdyn,60.4,17.35,82,80,11.88
166,ust-ilimsk,57.96,-4.3,65,64,5.61
167,vila velha,-3.71,80.6,83,40,5.82
168,castro,-42.48,53.6,100,90,5.82
169,bathsheba,13.22,77.0,73,20,16.11
170,puerto carreno,6.19,72.02,86,48,3.71
171,ouadda,8.07,63.79,57,0,9.64
172,georgetown,6.8,75.2,88,75,4.7
173,lagoa,37.14,46.4,39,0,9.17
174,golub-dobrzyn,53.11,25.13,84,0,9.53
175,fairbanks,64.84,-39.3,65,20,2.71
176,xining,36.62,14.06,54,12,1.48
177,hit,33.64,31.16,77,0,3.15
178,paldiski,59.35,35.6,74,0,14.99
179,airai,-8.93,84.17,66,12,2.26
180,magistralnyy,56.17,-13.89,60,0,3.38
181,poum,41.28,12.85,80,56,1.81
182,sharjah,25.36,61.18,72,40,6.93
183,timbiqui,2.77,74.14,98,68,0.58
184,huntsville,34.73,42.85,52,90,5.82
185,selma,36.57,52.05,81,1,2.93
186,woodward,36.43,36.28,92,90,12.75
187,qasigiannguit,68.82,-7.61,43,0,2.24
188,harper,30.3,55.74,91,90,7.52
189,olavarria,-36.89,58.12,71,0,9.19
190,chara,39.42,37.4,93,90,4.7
191,tshela,-4.99,70.27,100,92,3.6
192,casa nova,-11.77,72.07,92,0,5.73
193,chemodanovka,54.09,10.15,86,44,4.38
194,chokurdakh,70.62,-39.99,0,0,2.93
195,solnechnyy,50.72,-3.99,78,8,1.7
196,borovskoy,53.8,-1.69,70,36,8.19
197,sao filipe,14.9,71.66,99,0,10.87
198,wattegama,7.35,73.73,86,36,4.61
199,ossora,59.24,19.82,88,76,20.94
200,krasnyy chikoy,50.36,2.59,68,44,3.27
201,ulaangom,49.98,-18.84,22,8,1.14
202,omsukchan,62.53,-15.87,86,20,3.04
203,palmer,61.6,-4.58,74,1,6.93
204,takoradi,4.89,80.44,100,12,4.38
205,plymouth,50.37,40.21,100,24,11.54
206,kampong cham,11.99,87.1,59,0,11.43
207,viseu,40.66,37.4,86,0,3.36
208,beyneu,45.32,23.47,96,80,8.75
209,bonthe,7.53,79.27,85,0,4.94
210,ahipara,-35.17,77.47,59,36,9.75
211,oktyabrskoye,56.73,1.4,77,40,8.95
212,naze,5.43,73.6,91,8,7.4
213,baie-saint-paul,47.44,0.92,58,76,8.63
214,mehamn,71.03,16.22,74,24,4.05
215,maniitsoq,65.42,6.23,100,0,9.19
216,ukiah,39.15,51.08,92,90,6.96
217,nouadhibou,20.93,57.22,82,0,6.73
218,kutum,14.2,47.32,55,0,2.93
219,farim,12.48,71.6,68,12,3.04
220,puro,13.13,75.94,100,76,6.85
221,pitimbu,-7.47,77.0,83,20,5.82
222,aswan,24.09,42.14,93,0,4.05
223,henties bay,-22.12,61.31,100,92,6.51
224,sitka,37.17,35.39,100,92,18.03
225,shu,43.6,25.31,95,88,6.17
226,zhigansk,66.77,-22.17,66,48,9.19
227,khonsa,26.99,60.01,68,0,1.92
228,tingi,-11.3,75.71,100,76,3.83
229,ringebu,61.53,15.01,77,24,2.93
230,chaozhou,23.66,71.6,78,40,6.71
231,la reforma,14.8,75.2,88,40,2.24
232,belyy yar,53.6,1.4,84,76,2.24
233,ilulissat,69.22,-7.61,43,0,2.24
234,althofen,46.87,21.07,68,75,5.82
235,torrelodones,40.58,27.66,86,0,3.36
236,paciran,-6.9,86.92,82,12,3.49
237,nisia floresta,-6.09,77.86,74,40,6.93
238,port macquarie,-31.43,87.8,40,12,13.87
239,matara,-13.74,44.71,97,92,1.7
240,conde,-11.81,74.54,100,76,5.5
241,mount isa,-20.73,102.2,29,40,12.75
242,jawhar,19.91,55.46,80,0,1.92
243,sao jose da coroa grande,-8.9,75.89,94,68,5.61
244,oistins,13.07,77.0,73,20,16.11
245,mangrol,25.33,50.29,69,0,7.63
246,juan lacaze,-34.43,61.27,67,0,7.74
247,tolmezzo,46.41,20.59,69,0,3.27
248,mezen,65.85,20.36,76,76,10.65
249,korocha,50.81,17.6,92,90,13.42
250,miraflores,5.2,52.36,100,88,2.04
251,codajas,-3.84,76.84,87,8,6.06
252,aloleng,16.13,81.83,91,8,5.95
253,honiara,-9.43,79.27,98,80,2.37
254,botwood,49.14,28.4,86,90,13.87
255,castanos,26.78,54.34,96,88,2.71
256,walvis bay,-22.95,60.8,87,8,4.7
257,kandi,11.13,65.5,44,0,7.63
258,rocha,-34.48,60.19,77,80,5.73
259,alofi,-19.06,82.4,69,24,18.34
260,kushima,31.5,52.86,87,75,5.82
261,rampur,28.8,48.31,80,12,2.93
262,hay river,60.82,5.0,84,90,4.7
263,general jose eduvigis diaz,-27.17,75.2,88,75,3.36
264,gien,47.69,35.48,95,88,5.61
265,ayan,40.67,31.97,99,92,4.27
266,xiaoshi,30.59,41.69,93,12,1.59
267,harbour breton,47.48,32.96,98,48,24.4
268,taybad,34.74,27.02,100,20,3.04
269,deputatskiy,69.3,-39.99,0,0,2.59
270,mackenzie,55.34,35.6,93,90,8.05
271,moose factory,51.26,-9.41,69,90,9.17
272,cayenne,4.94,73.4,94,0,2.24
273,kupang,-10.16,86.11,85,56,6.96
274,saint-georges,46.12,4.43,60,56,9.75
275,sur,22.57,70.31,100,0,16.35
276,port hedland,-20.31,93.2,59,0,14.99
277,hovd,63.83,36.54,93,90,18.34
278,volosovo,59.45,32.0,87,75,13.42
279,tautira,-17.73,84.2,74,90,13.87
280,husavik,50.56,2.18,68,0,7.85
281,markova,52.21,-4.01,76,0,2.24
282,north branch,45.51,22.93,82,1,4.7
283,marsh harbour,26.54,71.12,100,88,13.56
284,kalmunai,7.42,74.05,100,88,6.4
285,vila franca do campo,37.72,59.0,82,75,13.87
286,payson,40.04,26.91,92,1,4.7
287,kedrovyy,56.17,-9.41,83,68,4.72
288,muros,42.77,38.26,80,0,5.82
289,bonga,7.26,49.34,69,0,1.59
290,golovino,55.95,7.76,81,80,11.21
291,amuntai,-2.42,84.4,81,44,2.59
292,aljezur,37.31,45.34,100,0,11.54
293,san matias,13.97,62.6,88,75,6.93
294,komsomolskiy,67.55,2.05,86,64,14.79
295,tingo maria,-9.29,62.17,97,92,1.7
296,cockburn town,21.46,76.75,100,12,13.78
297,naron,43.52,32.0,100,36,2.24
298,dunmore east,52.15,47.77,99,80,15.01
299,shelburne,44.08,13.44,85,90,2.24
300,nizip,37.01,33.8,74,40,2.24
301,itanagar,27.1,59.0,77,0,2.24
302,batemans bay,-35.71,87.23,51,0,3.15
303,lasa,34.92,49.37,76,0,9.17
304,port hardy,50.7,48.2,81,90,10.29
305,mount gambier,-37.83,75.2,41,0,19.46
306,dzilam gonzalez,21.28,68.29,65,0,6.29
307,tambacounda,13.77,71.6,28,0,4.7
308,hualmay,-11.1,66.62,96,20,5.73
309,kibondo,-3.59,62.03,94,64,3.49
310,lavrentiya,65.58,-8.71,99,24,27.31
311,dali,25.6,53.8,60,0,2.15
312,paamiut,61.99,31.21,92,80,4.38
313,santa cruz,36.97,56.14,77,90,5.82
314,cosbuc,47.37,16.22,89,92,2.59
315,utiel,39.57,32.0,87,0,6.93
316,timmins,48.48,-7.61,83,5,6.93
317,montemorelos,25.19,61.94,88,68,13.78
318,lebyazhye,59.96,32.0,83,75,13.42
319,tiznit,29.7,47.05,93,0,6.17
320,chelmek,50.1,31.12,92,75,14.99
321,siilinjarvi,63.08,28.4,79,0,17.22
322,baglung,28.27,44.35,49,0,2.26
323,kilindoni,-7.91,83.59,100,92,13.44
324,rubizhne,49.02,32.65,94,88,13.67
325,okhotsk,59.36,-5.2,100,0,9.98
326,khani,41.96,41.0,52,40,5.82
327,boda,26.2,64.73,51,0,4.94
328,bo rai,12.57,86.0,74,20,4.7
329,san quintin,17.54,79.76,62,12,3.04
330,sao gabriel da cachoeira,-0.13,76.84,89,20,2.15
331,ejido,8.55,56.95,92,48,1.59
332,diamantino,-14.4,71.21,97,56,2.93
333,purranque,-40.91,53.6,87,75,6.93
334,eyl,7.98,72.83,100,88,16.46
335,guiglo,6.55,71.62,98,36,2.71
336,weihai,37.5,40.61,100,0,8.19
337,touros,-5.2,77.0,83,20,4.7
338,sawtell,-30.38,85.51,61,32,21.92
339,clemencia,10.57,77.81,83,20,9.17
340,chilca,-13.22,53.6,66,75,0.81
341,leo,11.1,66.76,30,0,8.41
342,zelenoborskiy,66.84,20.18,88,32,6.29
343,puerto narino,-3.77,77.0,100,40,3.36
344,flinders,-34.58,89.6,52,0,12.75
345,yeppoon,-23.13,86.0,51,40,10.29
346,esperance,10.24,75.2,88,20,3.36
347,lewisporte,49.25,28.4,86,90,13.87
348,tatvan,38.5,3.44,61,20,0.02
349,stanari,44.75,23.0,92,0,6.93
350,athabasca,54.72,9.25,72,24,7.4
351,yatou,3.63,77.0,100,40,1.12
352,benguela,-12.58,75.17,100,44,2.93
353,goderich,43.74,17.35,88,92,5.28
354,ambilobe,-13.19,71.39,92,92,3.27
355,oyama,36.31,44.6,45,75,4.7
356,boddam,57.47,44.6,75,20,14.99
357,berlevag,70.86,19.6,100,68,4.38
358,san ramon,12.92,66.04,86,92,2.93
359,gigmoto,13.78,76.34,100,92,15.12
360,jizan,16.89,78.8,78,20,4.7
361,mattru,7.62,77.02,80,8,4.05
362,kamina,-8.74,65.59,99,56,3.04
363,mutis,6.23,78.55,100,56,2.71
364,hofn,64.25,40.21,96,0,15.79
365,bud,62.91,35.6,100,92,4.7
366,abu kamal,34.45,29.18,76,24,3.71
367,huarmey,-10.07,65.36,94,44,3.83
368,majene,-3.54,85.43,91,0,6.85
369,zyryanka,65.73,-35.94,69,0,2.26
370,liverpool,53.41,47.23,87,75,14.99
371,bom jesus,-9.08,76.3,50,12,4.94
372,san francisco,37.78,54.81,69,90,10.76
373,mankera,13.01,62.57,43,0,6.51
374,pokhara,28.21,40.84,69,0,2.15
375,athmallik,20.72,62.71,83,0,3.15
376,nicoya,10.15,78.8,61,0,17.22
377,livermore,37.68,55.18,92,90,3.36
378,chikwawa,-16.03,74.99,87,80,3.71
379,waipawa,-39.94,63.83,77,92,10.65
380,genhe,50.78,0.29,67,32,3.04
381,lugazi,0.37,66.2,82,20,4.7
382,yar-sale,66.83,-11.05,74,48,18.03
383,souillac,45.6,40.21,100,90,1.81
384,vanimo,-2.67,83.05,100,12,14.23
385,carauari,-4.88,79.67,75,8,5.61
386,marawi,8.0,78.82,70,68,3.27
387,kindu,-2.95,71.57,95,32,3.49
388,tura,25.52,60.14,78,0,4.61
389,dharmanagar,24.37,62.71,84,0,3.94
390,pleasant point,-44.26,57.62,100,68,5.73
391,alice springs,-23.7,105.8,13,0,11.41
392,tazovskiy,67.47,-23.97,36,48,11.99
393,caranavi,-15.83,64.73,96,92,2.04
394,ust-maya,60.42,-26.98,41,44,2.71
395,ancud,-41.87,53.6,100,90,2.24
396,ballina,54.11,46.87,99,92,17.02
397,lopsmarka,67.31,33.8,74,75,19.46
398,dowa,-13.66,69.86,100,88,1.48
399,nerchinskiy zavod,51.31,-3.31,69,68,3.27
400,kirakira,-10.46,81.83,100,88,9.64
401,gongzhuling,43.5,28.01,65,0,11.32
402,sao sebastiao,-3.15,74.27,97,12,5.61
403,ruteng,-8.61,82.24,83,56,4.16
